9	-20.75	12e-6	8e-6	5e-6
9	-20.25	32e-6	13e-6	10e-6
9	-19.75	144e-6	30e-6	28e-6
9	-19.25	235e-6	60e-6	49e-6
9	-18.55	486e-6	157e-6	139e-6
9	-18.05	1110e-6	310e-6	310e-6
9	-17.55	1776e-6	578e-6	510e-6
10	-20.75	4e-6	10e-6	4e-6
10	-20.25	27e-6	13e-6	10e-6
10	-19.75	92e-6	25e-6	20e-6
10	-19.25	177e-6	53e-6	45e-6
10	-18.55	321e-6	127e-6	111e-6
10	-18.05	686e-6	245e-6	223e-6
10	-17.55	1278e-6	486e-6	432e-6
11	-21.25	7e-6	9e-6	5e-6
11	-20.75	14e-6	11e-6	7e-6
11	-20.25	38e-6	16e-6	13e-6
11	-19.75	100e-6	37e-6	30e-6
11	-19.25	144e-6	81e-6	63e-6
11	-18.75	234e-6	118e-6	96e-6
11	-18.25	641e-6	361e-6	281e-6
12.5	-21.25	3e-6	4e-6	2e-6
12.5	-20.75	4e-6	5e-6	3e-6
12.5	-20.25	16e-6	9e-6	6e-6
12.5	-19.75	34e-6	23e-6	15e-6
12.5	-19.25	43e-6	35e-6	22e-6
12.5	-18.75	80e-6	51e-6	36e-6
12.5	-18.25	217e-6	153e-6	104e-6
14.5	-20.25	3e-6	6e-6	2e-6
